MES,CODIGO_OBJETIVO,CONFIGURACION,VIAJES_ORIGINADOS,VIAJES_DESCARGADOS,DIFERENCIA,INDICE_CARGUE_DESCARGUE
202412,5113000,3S3,53,26,27,2.04
202412,5113000,CA,1,22,-21,0.05
202412,5120000,2,3,3,0,1
202412,5120000,3S2,2,4,-2,0.5
202412,5120000,3S3,0,15,-15,0
202412,5120000,CA,0,7,-7,0
202412,5120002,2,0,2,-2,0
202412,5120002,3,0,1,-1,0
202412,5120003,3S2,0,1,-1,0
202412,5120004,2,1,15,-14,0.07
202412,5120004,3,0,1,-1,0
202412,5120004,3S3,0,2,-2,0
202412,5120004,CA,0,2,-2,0
202412,5120010,2,0,1,-1,0
202412,5120010,3S2,0,1,-1,0
202412,5125000,2,14,18,-4,0.78
202412,5125000,3,36,3,33,12
202412,5125000,3S3,0,2,-2,0
202412,5125000,CA,0,18,-18,0
202412,5129000,2,2862,2219,643,1.29
202412,5129000,2S2,113,288,-175,0.39
202412,5129000,2S3,91,140,-49,0.65
202412,5129000,3,127,150,-23,0.85
202412,5129000,3S1,4,3,1,1.33
202412,5129000,3S2,143,86,57,1.66
202412,5129000,3S3,794,355,439,2.24
202412,5129000,3S4,1,0,1,NA
202412,5129000,4,3,12,-9,0.25
202412,5129000,CA,1642,459,1183,3.58
202412,5129000,V2,16,0,16,NA
202412,5129000,V3,33,34,-1,0.97
202412,5129004,2,0,2,-2,0
202412,5129005,2,0,2,-2,0
202412,5129005,3S2,1,5,-4,0.2
202412,5129006,2,6,0,6,NA
202412,5134000,2,3,44,-41,0.07
202412,5134000,CA,0,3,-3,0
202412,5138000,2,22,158,-136,0.14
202412,5138000,2S2,1,0,1,NA
202412,5138000,3,4,27,-23,0.15
202412,5138000,3S2,1,1,0,1
202412,5138000,3S3,8,22,-14,0.36
202412,5138000,4,3,1,2,3
202412,5138000,CA,0,7,-7,0
202412,5138006,2,0,2,-2,0
202412,5142000,2,2,15,-13,0.13
202412,5142000,3,2,10,-8,0.2
202412,5142000,3S2,1,2,-1,0.5
202412,5142000,3S3,0,1,-1,0
202412,5142000,CA,0,7,-7,0
202412,5142003,2,0,3,-3,0
202412,5142006,2,0,60,-60,0
202412,5142006,3S3,0,7,-7,0
202412,5145000,2,9,17,-8,0.53
202412,5145000,3,2,5,-3,0.4
202412,5145000,CA,0,17,-17,0
202412,5147000,2,70,261,-191,0.27
202412,5147000,2B2,0,8,-8,0
202412,5147000,2R2,2,0,2,NA
202412,5147000,2R3,0,1,-1,0
202412,5147000,2S2,10,0,10,NA
202412,5147000,2S3,9,3,6,3
202412,5147000,3,10,32,-22,0.31
202412,5147000,3S2,12,6,6,2
202412,5147000,3S3,104,168,-64,0.62
202412,5147000,CA,78,56,22,1.39
202412,5147004,2S3,8,0,8,NA
202412,5147004,3S2,2,0,2,NA
202412,5147004,3S3,29,0,29,NA
202412,5148000,2,758,802,-44,0.95
202412,5148000,2R2,0,1,-1,0
202412,5148000,2S2,81,40,41,2.02
202412,5148000,2S3,27,2,25,13.5
202412,5148000,3,12,22,-10,0.55
202412,5148000,3S2,22,13,9,1.69
202412,5148000,3S3,35,130,-95,0.27
202412,5148000,CA,5,351,-346,0.01
202412,5148010,2,0,1,-1,0
202412,5150000,2,39,30,9,1.3
202412,5150000,3,0,6,-6,0
202412,5150000,CA,0,6,-6,0
202412,5150000,V2,0,1,-1,0
202412,5150000,V3,0,6,-6,0
202412,5154000,2,134,1005,-871,0.13
202412,5154000,2B2,0,14,-14,0
202412,5154000,2R2,0,4,-4,0
202412,5154000,2S2,6,14,-8,0.43
202412,5154000,2S3,10,16,-6,0.62
202412,5154000,3,7,77,-70,0.09
202412,5154000,3S2,15,41,-26,0.37
202412,5154000,3S3,131,608,-477,0.22
202412,5154000,3S4,1,2,-1,0.5
202412,5154000,4,0,1,-1,0
202412,5154000,CA,31,291,-260,0.11
202412,5154000,V3,0,1,-1,0
202412,5154003,2,0,1,-1,0
202412,5154003,CA,0,1,-1,0
202412,5154006,3S3,0,1,-1,0
202412,5154007,2,0,12,-12,0
202412,5154010,CA,0,1,-1,0
202412,5154013,3,0,1,-1,0
202412,5154015,3S3,8,18,-10,0.44
202412,5154015,CA,0,1,-1,0
202412,5154023,2,2,2,0,1
202412,5154023,3S2,0,2,-2,0
202412,5154023,3S3,2,7,-5,0.29
202412,5172000,2,119,303,-184,0.39
202412,5172000,2B2,1,13,-12,0.08
202412,5172000,2R2,0,11,-11,0
202412,5172000,2S2,0,2,-2,0
202412,5172000,2S3,2,3,-1,0.67
202412,5172000,3,4,62,-58,0.06
202412,5172000,3S2,4,8,-4,0.5
202412,5172000,3S3,69,175,-106,0.39
202412,5172000,CA,5,65,-60,0.08
202412,5172003,2S3,1,0,1,NA
202412,5172003,3,1,0,1,NA
202412,5172003,3S3,3,3,0,1
202412,5190000,2,14,49,-35,0.29
202412,5190000,2S1,0,1,-1,0
202412,5190000,3,1,3,-2,0.33
202412,5190000,3S1,1,1,0,1
202412,5190000,3S2,0,2,-2,0
202412,5190000,3S3,1,18,-17,0.06
202412,5190000,CA,2,33,-31,0.06
202412,5190000,V3,0,3,-3,0
202412,5197000,2,5,43,-38,0.12
202412,5197000,2S2,0,3,-3,0
202412,5197000,2S3,1,0,1,NA
202412,5197000,3,0,1,-1,0
202412,5197000,3S3,1,1,0,1
202412,5197000,CA,3,25,-22,0.12
202412,5197005,2,0,1,-1,0
202412,5206000,2,12,36,-24,0.33
202412,5206000,3,1,5,-4,0.2
202412,5206000,CA,1,2,-1,0.5
202412,5206000,V3,0,1,-1,0
202412,5209000,2,3,29,-26,0.1
202412,5209000,3,8,3,5,2.67
202412,5209000,3S2,0,2,-2,0
202412,5209000,3S3,50,49,1,1.02
202412,5209000,CA,0,20,-20,0
202412,5209004,3S3,27,12,15,2.25
202412,5212000,2,1709,1299,410,1.32
202412,5212000,2S1,1,0,1,NA
202412,5212000,2S2,752,252,500,2.98
202412,5212000,2S3,99,92,7,1.08
202412,5212000,3,16,81,-65,0.2
202412,5212000,3S1,4,1,3,4
202412,5212000,3S2,166,176,-10,0.94
202412,5212000,3S3,430,341,89,1.26
202412,5212000,4,1,24,-23,0.04
202412,5212000,CA,510,629,-119,0.81
202412,5234000,2,8,55,-47,0.15
202412,5234000,2S2,0,2,-2,0
202412,5234000,3,1,23,-22,0.04
202412,5234000,3S2,1,0,1,NA
202412,5234000,3S3,3,62,-59,0.05
202412,5234000,CA,2,20,-18,0.1
202412,5234000,V3,0,1,-1,0
202412,5234009,2,1,27,-26,0.04
202412,5234009,3,0,1,-1,0
202412,5234009,CA,0,32,-32,0
202412,5237000,2,153,314,-161,0.49
202412,5237000,2S2,0,7,-7,0
202412,5237000,2S3,0,2,-2,0
202412,5237000,3,0,87,-87,0
202412,5237000,3S2,1,6,-5,0.17
202412,5237000,3S3,1,136,-135,0.01
202412,5237000,CA,1,44,-43,0.02
202412,5237000,V3,0,88,-88,0
202412,5237001,2,2,1,1,2
202412,5240000,2,2,5,-3,0.4
202412,5240000,3,0,2,-2,0
202412,5240000,4,2,3,-1,0.67
202412,5240000,CA,0,10,-10,0
202412,5240003,2,1,8,-7,0.12
202412,5240007,2,0,3,-3,0
202412,5240007,CA,0,2,-2,0
202412,5250000,2,6,205,-199,0.03
202412,5250000,2S2,0,2,-2,0
202412,5250000,2S3,0,1,-1,0
202412,5250000,3,0,19,-19,0
202412,5250000,3S2,6,15,-9,0.4
202412,5250000,3S3,10,120,-110,0.08
202412,5250000,4,0,1,-1,0
202412,5250000,CA,0,33,-33,0
202412,5250000,V3,0,1,-1,0
202412,5250004,3S3,2,0,2,NA
202412,5264000,2,197,318,-121,0.62
202412,5264000,2S2,7,27,-20,0.26
202412,5264000,2S3,2,1,1,2
202412,5264000,3,2,20,-18,0.1
202412,5264000,3S2,45,17,28,2.65
202412,5264000,3S3,20,164,-144,0.12
202412,5264000,CA,6,45,-39,0.13
202412,5264000,V3,0,7,-7,0
202412,5266000,2,9784,3569,6215,2.74
202412,5266000,2R2,23,0,23,NA
202412,5266000,2S2,1863,338,1525,5.51
202412,5266000,2S3,555,150,405,3.7
202412,5266000,3,52,136,-84,0.38
202412,5266000,3S2,191,253,-62,0.75
202412,5266000,3S3,428,1201,-773,0.36
202412,5266000,4,0,2,-2,0
202412,5266000,CA,1576,1343,233,1.17
202412,5266001,2,19,85,-66,0.22
202412,5266001,3,4,2,2,2
202412,5266001,CA,0,3,-3,0
202412,5282000,2,55,163,-108,0.34
202412,5282000,2S2,0,12,-12,0
202412,5282000,3,4,3,1,1.33
202412,5282000,3S3,1,0,1,NA
202412,5282000,CA,0,26,-26,0
202412,5282000,V2,0,1,-1,0
202412,5282004,2,0,3,-3,0
202412,5282004,3,0,1,-1,0
202412,5282004,3S2,10,0,10,NA
202412,5284000,2,14,2582,-2568,0.01
202412,5284000,3,2,24,-22,0.08
202412,5284000,3S2,1,0,1,NA
202412,5284000,3S3,9,20,-11,0.45
202412,5284000,CA,2,45,-43,0.04
202412,5284000,V3,0,3,-3,0
202412,5284006,2,0,2,-2,0
202412,5306000,2,1,22,-21,0.05
202412,5306000,3,1,2,-1,0.5
202412,5306000,3S3,2,7,-5,0.29
202412,5306000,4,1,0,1,NA
202412,5306000,V3,0,1,-1,0
202412,5308000,2,8286,2838,5448,2.92
202412,5308000,2B1,4,0,4,NA
202412,5308000,2R2,17,12,5,1.42
202412,5308000,2S1,16,0,16,NA
202412,5308000,2S2,156,666,-510,0.23
202412,5308000,2S3,118,126,-8,0.94
202412,5308000,3,532,142,390,3.75
202412,5308000,3S1,2,0,2,NA
202412,5308000,3S2,301,423,-122,0.71
202412,5308000,3S3,2242,2816,-574,0.8
202412,5308000,3S4,2,2,0,1
202412,5308000,4,22,6,16,3.67
202412,5308000,CA,2671,528,2143,5.06
202412,5308000,V3,128,237,-109,0.54
202412,5308000,V4,2,62,-60,0.03
202412,5310000,2,84,22,62,3.82
202412,5310000,3,4,4,0,1
202412,5310000,3S3,0,9,-9,0
202412,5310000,4,2,0,2,NA
202412,5310000,CA,35,23,12,1.52
202412,5310002,2,1,2,-1,0.5
202412,5310003,2,1227,392,835,3.13
202412,5310003,2S2,19,52,-33,0.37
202412,5310003,2S3,35,58,-23,0.6
202412,5310003,3,16,3,13,5.33
202412,5310003,3S2,0,3,-3,0
202412,5310003,3S3,71,96,-25,0.74
202412,5310003,CA,227,19,208,11.95
202412,5313000,2,4,22,-18,0.18
202412,5313000,2S2,0,16,-16,0
202412,5313000,CA,0,38,-38,0
202412,5315000,2,7,16,-9,0.44
202412,5315000,3,4,2,2,2
202412,5315000,4,1,0,1,NA
202412,5315000,CA,0,13,-13,0
202412,5318000,2,6983,2291,4692,3.05
202412,5318000,2R2,0,12,-12,0
202412,5318000,2S1,8,0,8,NA
202412,5318000,2S2,181,294,-113,0.62
202412,5318000,2S3,64,89,-25,0.72
202412,5318000,3,253,136,117,1.86
202412,5318000,3S2,156,204,-48,0.76
202412,5318000,3S3,1225,938,287,1.31
202412,5318000,CA,785,554,231,1.42
202412,5318000,V2,0,171,-171,0
202412,5318000,V3,0,1,-1,0
202412,5318003,2,58,2,56,29
202412,5318003,2S1,2,0,2,NA
202412,5318003,2S2,49,0,49,NA
202412,5318003,2S3,2,0,2,NA
202412,5318003,3S2,23,0,23,NA
202412,5318003,3S3,165,0,165,NA
202412,5321000,2,12,113,-101,0.11
202412,5321000,2S2,0,23,-23,0
202412,5321000,3,0,9,-9,0
202412,5321000,3S3,0,1,-1,0
202412,5321000,CA,3,44,-41,0.07
202412,5347000,2,1,15,-14,0.07
202412,5347000,3,1,11,-10,0.09
202412,5347000,CA,0,8,-8,0
202412,5347008,CA,0,2,-2,0
202412,5353000,2,2,46,-44,0.04
202412,5353000,2S2,1,1,0,1
202412,5353000,3S2,0,2,-2,0
202412,5353000,3S3,0,3,-3,0
202412,5353000,CA,0,4,-4,0
202412,5353000,V3,0,1,-1,0
202412,5360000,2,36785,6555,30230,5.61
202412,5360000,2B1,0,2,-2,0
202412,5360000,2R2,8,3,5,2.67
202412,5360000,2S1,41,3,38,13.67
202412,5360000,2S2,588,498,90,1.18
202412,5360000,2S3,168,355,-187,0.47
202412,5360000,3,360,406,-46,0.89
202412,5360000,3S1,0,9,-9,0
202412,5360000,3S2,165,350,-185,0.47
202412,5360000,3S3,1990,5204,-3214,0.38
202412,5360000,3S4,0,4,-4,0
202412,5360000,4,5,25,-20,0.2
202412,5360000,CA,4505,1728,2777,2.61
202412,5360000,V3,2,0,2,NA
202412,5360001,2,1,1,0,1
202412,5360001,2S2,0,3,-3,0
202412,5360001,2S3,2,2,0,1
202412,5360001,3S3,2,3,-1,0.67
202412,5360001,CA,1,0,1,NA
202412,5360003,2,0,3,-3,0
202412,5360006,2,0,77,-77,0
202412,5361000,2,30,98,-68,0.31
202412,5361000,2S2,13,62,-49,0.21
202412,5361000,2S3,3,1,2,3
202412,5361000,3,6,8,-2,0.75
202412,5361000,3S2,0,1,-1,0
202412,5361000,3S3,10,30,-20,0.33
202412,5361000,4,1,0,1,NA
202412,5361000,CA,0,33,-33,0
202412,5361000,V3,0,1,-1,0
202412,5364000,2,21,200,-179,0.1
202412,5364000,2S3,1,1,0,1
202412,5364000,3,1,28,-27,0.04
202412,5364000,3S2,13,1,12,13
202412,5364000,3S3,123,36,87,3.42
202412,5364000,CA,0,85,-85,0
202412,5368000,2,125,28,97,4.46
202412,5368000,2S2,0,26,-26,0
202412,5368000,3,6,10,-4,0.6
202412,5368000,3S2,1,0,1,NA
202412,5368000,3S3,16,6,10,2.67
202412,5368000,CA,3,24,-21,0.12
202412,5368007,3S3,0,3,-3,0
202412,5376000,2,810,1235,-425,0.66
202412,5376000,2S2,13,10,3,1.3
202412,5376000,2S3,5,0,5,NA
202412,5376000,3,26,36,-10,0.72
202412,5376000,3S2,5,8,-3,0.62
202412,5376000,3S3,46,176,-130,0.26
202412,5376000,CA,39,421,-382,0.09
202412,5380000,2,10651,2831,7820,3.76
202412,5380000,2R2,48,2,46,24
202412,5380000,2S2,569,486,83,1.17
202412,5380000,2S3,35,88,-53,0.4
202412,5380000,3,36,90,-54,0.4
202412,5380000,3S2,258,296,-38,0.87
202412,5380000,3S3,517,933,-416,0.55
202412,5380000,4,1,6,-5,0.17
202412,5380000,CA,5159,964,4195,5.35
202412,5380000,V3,1,1,0,1
202412,5380001,2,24,44,-20,0.55
202412,5380001,2S2,0,3,-3,0
202412,5380001,2S3,0,1,-1,0
202412,5380001,3S3,0,1,-1,0
202412,5380001,CA,2,4,-2,0.5
202412,5380005,2,102,32,70,3.19
202412,5380005,2S2,10,6,4,1.67
202412,5380005,2S3,9,2,7,4.5
202412,5380005,3,9,1,8,9
202412,5380005,3S2,9,0,9,NA
202412,5380005,3S3,19,12,7,1.58
202412,5380005,CA,1,0,1,NA
202412,5380010,2,0,1,-1,0
202412,5390000,2,41,65,-24,0.63
202412,5390000,3,5,6,-1,0.83
202412,5390000,3S2,4,1,3,4
202412,5390000,3S3,1,20,-19,0.05
202412,5390000,CA,8,31,-23,0.26
202412,5400000,2,116,267,-151,0.43
202412,5400000,2S2,1,1,0,1
202412,5400000,2S3,1,0,1,NA
202412,5400000,3,26,24,2,1.08
202412,5400000,3S2,2,11,-9,0.18
