MES,RUTA_CONFIGURACION,VALOR_MERCADO,UTILIZACION_MERCADO,NUM_VIAJES_MERCADO,VALOR_REMESAS,UTILIZACION_REMESAS,NUM_VIAJES_REMESAS, VALOR_PROMEDIO_MERCADO ,RUTA_ANALISIS,CONFIGURACION_ANALISIS,CODIGO_ORIGEN,CODIGO_DESTINO
202501,11001000-20228000-3,8000000,0.6875,1,8000000,0.69,1,8480000,11001000-20228000,3,11001000,20228000
202501,11001000-20250002-3,822570,0.9375,2,822569,0.94,4,871923.564,11001000-20250002,3,11001000,20250002
202501,11001000-20383010-3S3,5345400,0.352941176,1,6795000,0.35,1,6588069.6,11001000-20383010,3S3,11001000,20383010
202501,11001000-20400000-2S3,5000000,0.740740741,1,5000000,0.74,1,5300000,11001000-20400000,2S3,11001000,20400000
202501,11001000-23001000-2S2,1789333.333,0.553787879,3,5368000,0.36,4,4172725.333,11001000-23001000,2S2,11001000,23001000
202501,11001000-23001000-2S3,5533625,0.66712963,4,5813800,0.417,10,6043833.8,11001000-23001000,2S3,11001000,23001000
202501,11001000-23001000-3,4850000,1.0625,1,4850000,1.06,1,5141000,11001000-23001000,3,11001000,23001000
202501,11001000-23001000-3S2,4150990,0.696225806,5,6629980,0.642,5,5976687.04,11001000-23001000,3S2,11001000,23001000
202501,11001000-23001000-3S3,6001142.818,0.82888733,13,6228019.6,0.855666667,30,6505505.021,11001000-23001000,3S3,11001000,23001000
202501,11001000-23162000-3S2,2655250,0.907681141,2,5310500,1,1,4503304,11001000-23162000,3S2,11001000,23162000
202501,11001000-23162000-3S3,6379444.444,0.816057734,3,6335533.333,0.778571429,21,6734283.644,11001000-23162000,3S3,11001000,23162000
202501,11001000-23189000-2S3,7900000,0.549259259,1,7900000,0.37,1,8374000,11001000-23189000,2S3,11001000,23189000
202501,11001000-23466000-3S2,5000000,0.64516129,1,5000000,0.65,1,5300000,11001000-23466000,3S2,11001000,23466000
202501,11001000-23466000-3S3,5000000,1,1,4346504.667,1,3,4884376.968,11001000-23466000,3S3,11001000,23466000
202501,11001000-23570000-2S2,5400000,0.636363636,1,5400000,0.64,1,5724000,11001000-23570000,2S2,11001000,23570000
202501,11001000-23660000-3,3600000,1.0625,1,3600000,1.06,1,3816000,11001000-23660000,3,11001000,23660000
202501,11001000-25120003-3S2,2700000,0.451612903,1,2700000,0.45,1,2862000,11001000-25120003,3S2,11001000,25120003
202501,11001000-25126000-2S2,1781959.75,0.943181818,2,1694164.6,0.634,5,1833039.62,11001000-25126000,2S2,11001000,25126000
202501,11001000-25126000-2S3,1484150.333,0.351851852,1,1411684.75,0.35,4,1527111.242,11001000-25126000,2S3,11001000,25126000
